red,150,35,47
yellow,111,123,104
green,5,70,75
cyan,56,113,139
white,135,145,145
orange,144,100,55
violet,60,45,85
pink,125,70,105
grey,80,105,115
brown,100,100,100
brown,135,132,120
black,20,20,20
blue,1,44,114
